,id,question,A,B,C,D,answer
0,Mercury_7220990,Which factor will most likely cause a person to develop a fever?,a leg muscle relaxing after exercise,a bacterial population in the bloodstream,several viral particles on the skin,carbohydrates being digested in the stomach,B
1,MCAS_2007_8_5189,Lichens are symbiotic organisms made of green algae and fungi. What do the green algae supply to the fungi in this symbiotic relationship?,carbon dioxide,food,protection,water,B
2,Mercury_SC_401169,"When a switch is used in an electrical circuit, the switch can",cause the charge to build.,increase and decrease the voltage.,cause the current to change direction.,stop and start the flow of current.,D
3,MCAS_2004_8_27,Which of the following is an example of an assistive device?,contact lens,motorcycle,raincoat,coffee pot,A
4,NYSEDREGENTS_2006_8_10,"Rocks are classified as igneous, metamorphic, or sedimentary according to",their color,their shape,how they formed,the minerals they contain,C
5,Mercury_7013388,A chewable calcium carbonate tablet is a common treatment for stomach discomfort. Calcium carbonate is most likely used as this type of medicine because calcium carbonate,has a pleasant flavor.,is inexpensive to produce.,neutralizes digestive acid.,occurs naturally in the body.,C
6,Mercury_7179953,Which two body systems are directly involved in movement?,muscular and skeletal,digestive and muscular,skeletal and respiratory,respiratory and digestive,A
7,Mercury_7205118,Which change in the state of water particles causes the particles to become arranged in a fixed position?,boiling,melting,freezing,evaporating,C
8,MCAS_2016_8_13,Earth's core is primarily composed of which of the following materials?,basalt,iron,magma,quartz,B
9,Mercury_7283255,Which of the following events during meiosis contributes most to the variation within a species?,pairing of chromosomes,creation of haploid gametes,segregation of alleles,separation of chromatids,C
10,MCAS_2005_5_29,"Which of the following was probably most important in the formation of dark, fertile soil that is good for farming?",plant decomposition,radioactive decay,water erosion,wind erosion,A
11,MCAS_2001_8_7,"When igneous rock is changed into metamorphic rock, which form of energy is this process?",heat,chemical,magnetic,light,A
12,Mercury_SC_400329,"In humans, the digestion process begins in","the intestine, with squeezing.","the mouth, with chewing and saliva.","the stomach, with churning and acid.","the esophagus, with pushing towards the stomach.",B
13,Mercury_SC_407440,Which of these items contains only a solution?,a jar of pickles,a bottle of juice,a bag of peanuts,a can of mixed fruit,B
14,MCAS_2016_8_7,"Many natural rock formations change color over time. In Utah, for example, iron oxidized and formed red, orange, and yellow rock. Which of the following is the cause of this change?",chemical weathering,mechanical weathering,water erosion,wind erosion,A
15,MEA_2016_8_8,"A population of small, plant-eating beetles lives in a forest. About half of the beetles are light brown and the others are dark green. If years of drought cause the area to become dry with few trees, what would the beetle population most likely look like after several generations?",It would be mostly light brown beetles.,It would be mostly dark green beetles.,It would be mostly carnivorous beetles.,It would be mostly very large beetles.,A
16,Mercury_SC_400124,A scientist wanting to document a change in a river's flow pattern should observe a river over a period of,days.,weeks.,months.,years.,D
17,Mercury_405944,Automobile engines built today are designed to be gas efficient. Gas-efficient engines most likely affect a city by reducing,air pollution.,heat pollution.,noise pollution.,light pollution.,A
